,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,Person_id
1791, Loved the lobby Loved the wonderful staff Can t remember all the names of the wonderful staff but I do remember Suzy Lovely breakfast Room was nice ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,12
1792, Hair in my bed sheets ,7,7_hair_space_small_door,"['hair', 'space', 'small', 'door', 'bathroom bathroom', 'dirty', 'cracked', 'apart', 'dated', 'also']","[' big bathroom', ' The shower ', ' bathroom']",hair - space - small - door - bathroom bathroom - dirty - cracked - apart - dated - also,0.8464735127445135,False,13
1793, broken toilet flusher When i complained in the morning was too late when i got in at 2am they didnt take me seriously,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,0.814894005167756,False,13
1794, Modern style ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,14
1795, close to the local tube station,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,14
1796, Floors in corridors make noise ,13,13_door_next_busy_windows,"['door', 'next', 'busy', 'windows', 'hear', 'centre', 'poor', 'comfortable', 'light', 'street quiet']","[' The noise ', ' Construction site next door meant it was a bit noisy in our room first thing Railway close by too so added noise but not unbearable ', ' terrible bed in family room not suitable for 2 adults too loud windows looking at the street should be closed all the time otherwise too much noise coming from outside traffic restaurant in front too much overpriced for the current state of the rooms refurbishment needed ']",door - next - busy - windows - hear - centre - poor - comfortable - light - street quiet,1.0,False,15
1797, made of wood ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,15
1798, Location is perfect in the moddle of everything Close to shopping area ,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,1.0,False,16
1799, night life Our room was very quiet ,13,13_door_next_busy_windows,"['door', 'next', 'busy', 'windows', 'hear', 'centre', 'poor', 'comfortable', 'light', 'street quiet']","[' The noise ', ' Construction site next door meant it was a bit noisy in our room first thing Railway close by too so added noise but not unbearable ', ' terrible bed in family room not suitable for 2 adults too loud windows looking at the street should be closed all the time otherwise too much noise coming from outside traffic restaurant in front too much overpriced for the current state of the rooms refurbishment needed ']",door - next - busy - windows - hear - centre - poor - comfortable - light - street quiet,1.0,False,16
1800, staff are helpful ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,1.0,False,16
1801, friendly ,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,0.7007124997633436,False,16
1802, The bathroom layout was slightly tricky as the door opened directly onto the large shower cubicle This meant you had to really squeeze around it to get to the toilet ,7,7_hair_space_small_door,"['hair', 'space', 'small', 'door', 'bathroom bathroom', 'dirty', 'cracked', 'apart', 'dated', 'also']","[' big bathroom', ' The shower ', ' bathroom']",hair - space - small - door - bathroom bathroom - dirty - cracked - apart - dated - also,1.0,False,17
1803, The staff were lovely ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,1.0,False,18
1804, couldn t do enough for us Breakfast was great ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,1.0,False,18
1805, the location was brilliant ,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,0.7535088061692051,False,18
1806, Nothing,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,19
1807, The room was nice ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,20
1808, all the staff was excellent,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,1.0,False,20
1809, Lack of free parking,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,21
1810, The hassle free stay,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.8004562290888705,False,23
1811, All around excellent,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,24
1812, Told breakfast from 7am arrive 5past told to come back in 5 10 mins Then had some cornflakes ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,1.0,False,25
1813, the milk tasted off ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.1917122581880682,False,25
1814, The old building is not up to the quality of the main building,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,26
1815, The location is the best on the Str,8,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",great - easy - transport - location great location - shopping - centre - streets - public - free wifi - far,1.0,False,27
1816, Very close to the tube ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,27
1817, train station just above it theatres Trafalgar Square restaurants river Themes ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,27
1818, much more ,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,27
1819, The decor in our room was abit tatty wallpaper starting to peel off the wall ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,28
1820, Great location from Earls Court Tube Station very friendly staff ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,0.7427854898279301,False,29
1821, small room bathroom small lift breakfast not included for us steps to get to lobby level from street,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.7155464154572233,False,31
1822, Quiet street beautiful lounge historic building fabulous neighborhood close to tube station,13,13_door_next_busy_windows,"['door', 'next', 'busy', 'windows', 'hear', 'centre', 'poor', 'comfortable', 'light', 'street quiet']","[' The noise ', ' Construction site next door meant it was a bit noisy in our room first thing Railway close by too so added noise but not unbearable ', ' terrible bed in family room not suitable for 2 adults too loud windows looking at the street should be closed all the time otherwise too much noise coming from outside traffic restaurant in front too much overpriced for the current state of the rooms refurbishment needed ']",door - next - busy - windows - hear - centre - poor - comfortable - light - street quiet,1.0,False,32
1823, Tha hotel provided gluten free options for breakfast when I asked ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.8168688060248328,False,33
1824, also had a range of Lactose free choices which was a real delight The breakfast was excellent ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,1.0,False,33
1825, the time period extended over 5 5 hours which is very accommodating ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,1.0,False,33
1826, Didn t realise it was alcohol free Room quite expensive,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,35
1827, lovely staff lovely room ,9,9_friendly_helpful_location friendly staff_good,"['friendly', 'helpful', 'location friendly staff', 'good', 'great location', 'lovely', 'distance', 'walking', 'comfortable', 'especially']","[' Location friendly staff', ' Location friendly staff', ' Great location friendly staff ']",friendly - helpful - location friendly staff - good - great location - lovely - distance - walking - comfortable - especially,0.6804820895413606,False,36
1828, the quality of the food was not good ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.4991409100101471,False,37
1829, spacious room nice shower facility lovely staff members good central location ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,39
1830, Room was very compact,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,40
1831, Room was very clean ,10,10_dusty_carpet_strong_cups,"['dusty', 'carpet', 'strong', 'cups', 'could better', 'service', 'days', 'bit', 'still cleaned', 'scratch smoky smelling']","[' Clean rooms', ' clean room ', ' the room clean ']",dusty - carpet - strong - cups - could better - service - days - bit - still cleaned - scratch smoky smelling,1.0,False,41
1832, well equipped staff were friendly ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,0.6764217064301644,False,41
1833, helpful,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,41
1834, It is too far from the Metro station Collblanc The Breakfast is just normal FC Barcelona Stadium is 20 minutes away Internet Speed is not Fare actually the WiFi is shared with the hotel neighbors because there is no password or security on the network They cant speak English very well ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.5126883755940573,False,42
1835, FC Barcelona Stadium is 20 minutes away The room was clean ,10,10_dusty_carpet_strong_cups,"['dusty', 'carpet', 'strong', 'cups', 'could better', 'service', 'days', 'bit', 'still cleaned', 'scratch smoky smelling']","[' Clean rooms', ' clean room ', ' the room clean ']",dusty - carpet - strong - cups - could better - service - days - bit - still cleaned - scratch smoky smelling,1.0,False,43
1836, tidy,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,43
1837, A baby in the room next door cried for hours I eventually got up at 1 30 a m And rang reception Not sure what they did but it was quieter after the phone call ,13,13_door_next_busy_windows,"['door', 'next', 'busy', 'windows', 'hear', 'centre', 'poor', 'comfortable', 'light', 'street quiet']","[' The noise ', ' Construction site next door meant it was a bit noisy in our room first thing Railway close by too so added noise but not unbearable ', ' terrible bed in family room not suitable for 2 adults too loud windows looking at the street should be closed all the time otherwise too much noise coming from outside traffic restaurant in front too much overpriced for the current state of the rooms refurbishment needed ']",door - next - busy - windows - hear - centre - poor - comfortable - light - street quiet,1.0,False,44
1838, The room was very good,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,45
1839, Parking You pay 39 euros per day but you cannot enter ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,47
1840, exit at leisure You pay for every entrance ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,47
1841, exit Would be great if the hotel can have its own parking facilities,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,47
1842, Excellent staff at the reception booking counter They made everything possible For instance we made a mistake in our booking but they manage to cancel ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,1.0,False,49
1843, redo a new booking with a better room They supported us with all our stuff up to the 31st floor lot of baby thingy to carry They also arranged a baby cot within minutes got that into our room despite we reached there before our planned date Room was excellent with a great view of eiffel tower ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,49
1844, paris ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,49
1845, At 6 pm when I arrived ,5,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",us - alarm - checkout - 50 - arrived - refund - staff - even though - surprise - credit card,1.0,False,50
1846, went up to the room it was still not cleaned ,10,10_dusty_carpet_strong_cups,"['dusty', 'carpet', 'strong', 'cups', 'could better', 'service', 'days', 'bit', 'still cleaned', 'scratch smoky smelling']","[' Clean rooms', ' clean room ', ' the room clean ']",dusty - carpet - strong - cups - could better - service - days - bit - still cleaned - scratch smoky smelling,1.0,False,50
1847, someone came to clean it when I was there ,10,10_dusty_carpet_strong_cups,"['dusty', 'carpet', 'strong', 'cups', 'could better', 'service', 'days', 'bit', 'still cleaned', 'scratch smoky smelling']","[' Clean rooms', ' clean room ', ' the room clean ']",dusty - carpet - strong - cups - could better - service - days - bit - still cleaned - scratch smoky smelling,1.0,False,50
1848, It is close to the central station,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,51
1849, All good,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,52
1850, Wonderful central location on La Ramble A calm oasis in the vibrant centre of Barcelona Roof top terrace is marvelous Pool warm ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.8061875180973791,False,53
1851, inviting Worth having breakfast there Staff were brilliantly helpful,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.6186615801716352,False,53
1852, Tea Coffee making facilities in the room please,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.1917122581880682,False,54
1853, Hotel generally staff ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.8927362912742771,False,55
1854, good food especially in the restaurant,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,0.49544876299576107,False,55
1855, Narrow corridors bed was 2 twins pushed together so very uncomfortable in the middle reception area was just member of staff at a table with a laptop which was a bit strange about 10 mins walk from nearest tube station ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,56
1856, Spacious rooms good room facilities clean rooms friendly ,10,10_dusty_carpet_strong_cups,"['dusty', 'carpet', 'strong', 'cups', 'could better', 'service', 'days', 'bit', 'still cleaned', 'scratch smoky smelling']","[' Clean rooms', ' clean room ', ' the room clean ']",dusty - carpet - strong - cups - could better - service - days - bit - still cleaned - scratch smoky smelling,0.9906408532941682,False,57
1857, helpful staff ,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,1.0,False,57
1858, Bad wi fi connection small ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,58
